,values,category
12311,interested in a flight from dallas to fort worth,travel
12312,interested in a flight from washington to fort.,travel
12313,died in a flight from washington to fort worth,travel
12314,Bike like taking a trip from washington to fort worth.,travel
12315,interested in a route from washington to fort worth,travel
12316,I would like to join a flight off washington to fort worth so I could get a trip.,travel
12317,interested in a flight from washington to fort worth,travel
12318,list of flights from burbank to denver arriving by 6 pm,travel
12319,list nonstop flights from chicago to denver arriving by 6 pm,travel
12320,List nonstop flights to denver by 6 o'clock from burbank to denver.,travel
12321,list nonstop flights from burbank to sacramento arriving by 6 pm,travel
12322,Schedule without stop flights from burbank to denver for the first time in at six.,travel
12323,list nonstop flights from burbank to denver arriving by 2 pm,travel
12324,list nonstop flights from burbank to denver arriving by 6 ;,travel
12325,list nonstop flights from burbank to denver arriving by 6 pm,travel
12326,show me the schedule for airlines leaving pittsburgh going to san francisco for next.,travel
12327,show me the schedule for you leaving pittsburgh going to san francisco for next monday,travel
12328,show me the timetable for airlines leaving pittsburgh going to san francisco for next monday,travel
12329,Show me the plan for the airlines leaving pittsburgh for san francisco next monday.,travel
12330,show me the schedule for airlines leaving and going to san francisco for next monday,travel
12331,Show me the schedule for the departure of pittsburgh to san francisco next monday.,travel
12332,show me the schedule for airlines leaving pittsburgh going to san francisco for next monday,travel
12333,give me morning flights from boston to baltimore,travel
12334,Chauffeur flights from charlotte to baltimore from day one.,travel
12335,"If I flies to baltimore, I’ll get to the morning.",travel
12336,give me the flights from charlotte to baltimore,travel
12337,give me morning mail from charlotte to baltimore,travel
12338,give me morning flights from charlotte to baltimore,travel
12339,list all scheduled flights from philadelphia to san francisco,travel
12340,list all united states from philadelphia to san francisco,travel
12341,list all united flights from philadelphia to san francisco,travel
12342,List all united flights from philadelphia to san francisco.,travel
12343,List all the United flights between Philadelphia and San francisco.,travel
12344,list all united flights from seattle to san francisco,travel
12345,i want to fly from milwaukee to.,travel
12346,i want to fly from here to orlando,travel
12347,Can I fly from mk to lilo?,travel
12348,i want to fly from milwaukee to orlando,travel
12349,I want to fly from milwaukee to orlando.,travel
12350,is there a flight from boston to atlanta which leaves boston in the afternoon and arrives close to 5 pm,travel
12351,is there a flight from boston to atlanta which leaves boston in the afternoon and arrives close to 5?,travel
12352,Is there a flight from Boston to Atlanta which leaves boston in the afternoon and arrives close to 17 o'clock.,travel
12353,is there a flight from boston to atlanta which leaves boston in the afternoon and arrives close to 2 pm,travel
12354,is there a flight from boston to chicago which leaves boston in the afternoon and arrives close to 5 pm,travel
12355,is there a flight from boston to atlanta which leaves boston in the morning and arrives close to 5 pm,travel
12356,is there a train from boston to atlanta which leaves boston in the afternoon and arrives close to 5 pm,travel
12357,? Any flight from boston to atlanta leaves boston in the afternoon and arrives near 5 pm?,travel
12358,show me one way flights from milwaukee to chicago leaving on wednesday morning,travel
12359,show me one way flights from milwaukee to orlando leaving on wednesday.,travel
12360,show me one way bus from milwaukee to orlando leaving on wednesday morning,travel
12361,show me one way flights from milwaukee to orlando leaving on wednesday morning,travel
12362,show me the way flights from milwaukee to orlando leaving on wednesday morning,travel
12363,show me one way flights from miami to orlando leaving on wednesday morning,travel
12364,Let me return from milwaukee to orlando on wednesday morning.,travel
12365,show me one way flights from milwaukee to orlando leaving on monday morning,travel
12366,Goodbye from milwaukee to orlando departing on wednesday morning.,travel
12367,show me one the flights from milwaukee to orlando leaving on wednesday morning,travel
12368,show me all the flights from.,travel
12369,Show me all the fares from the burbank.,travel
12370,Have all the flights from burbank to me.,travel
12371,show me all the flights from burbank,travel
12372,show me all the pictures from burbank,travel
12373,show me the aircraft that canadian airways uses,travel
12374,show me the plane that canadian airlines uses,travel
12375,Show me the canadian flight aircraft that airlines use.,travel
12376,show me the aircraft that united airlines uses,travel
12377,show me the aircraft that canadian airlines uses,travel
12378,Show me the aircraft that canadian airlines use.,travel
12379,"Yes, i live in washington, and I want to go to san francisco, to work with the airlines that I am not permitted to use for this trip.",travel
12380,"yes, that's the person who lives in washington and wanted to fly to the french capital where other airlines used to be able to travel for this trip.",travel
12381,yes i live in washington and i want to make a trip to san francisco which you may i use for this trip,travel
12382,yes i live in washington and i want to make a trip to san francisco which airlines may i use for this trip,travel
12383,yes i live in california and i want to make a trip to san francisco which airlines may i use for this trip,travel
12384,yes i live in washington and i want to make a flight to san francisco which airlines may i use for this trip,travel
12385,Please list flights from atlanta to philly.,travel
12386,please list trains from atlanta to philly,travel
12387,please list flights from philadelphia to philly,travel
12388,please list flights from atlanta to philly,travel
12389,You are gonna give me an overview of the flight from atlanta to philly.,travel
12390,flights from la guardia or back to cleveland,travel
12391,flights from laredo or jfk to cleveland,travel
12392,trains from la guardia or jfk to cleveland,travel
12393,flies from la guardia or jfk to cleveland between birds.,travel
12394,The freight to the cleveland is prohibited by la guardia or jfk by plane.,travel
12395,flights from la guardia or jfk to cleveland,travel
12396,show me the American airline routes on wednesday leaving phoenix and arriving in milwaukee.,travel
12397,show me the american airline flights leaving phoenix on wednesday and arriving in.,travel
12398,Show me the US Airlines flights that leave phoenix on wednesday and return to milwaukee.,travel
12399,"show me the american airline, leaving phoenix on wednesday and arriving in milwaukee",travel
12400,show me the american airline flights leaving phoenix on wednesday and arriving in milwaukee,travel
12401,show me the american airline flights leaving chicago on wednesday and arriving in milwaukee,travel
12402,show me the american eagle flights leaving phoenix on wednesday and arriving in milwaukee,travel
12403,show me the major airline flights leaving phoenix on wednesday and arriving in milwaukee,travel
12404,show all flights on united airlines out of boston,travel
12405,show all flights on lufthansa and out of boston,travel
12406,Show flights via the jet flights out of boston on flights over boston.,travel
12407,Show all flight times of boston airlines flying from boston to lufthansa.,travel
12408,show all flights on lufthansa airlines out of.,travel
12409,show all flights on lufthansa airlines out of boston,travel
12410,can you tell me the cheapest flight between boston and san francisco?,travel
12411,Can you show me the cheapest flight flight between boston and san francisco?,travel
12412,can you tell me the cheapest flight between seattle and san francisco,travel
12413,can you tell me the cheapest flight between boston and san?,travel
12414,can you tell me the cheapest route between boston and san francisco,travel
12415,can you tell me the cheapest flight between boston and san francisco,travel
12416,can you tell me the daily flight between boston and san francisco,travel
12417,i would like to see the flights from baltimore to philadelphia please,travel
12418,i would like to see the flights from london to philadelphia please,travel
12419,i would like to see the train from baltimore to philadelphia please,travel
12420,I'd like to see the flights from baltimore to the philadelphia.,travel
12421,please see the flight from baltimore to philadelphia.,travel
12422,Give me flight from atlanta to baltimore for me.,travel
12423,give me flights from atlanta to baltimore,travel
12424,Do you travel to baltimore by plane from atlanta to baltimore?,travel
12425,give me directions from atlanta to baltimore,travel
12426,give me flights from boston to baltimore,travel
12427,"want to board a flight destined for los angeles from newark to los angeles, leaving in the morning.",travel
12428,i want a flight departing from chicago to los angeles that leaves in the morning,travel
12429,I want a flight taking off newark to la. that will take off in the morning.,travel
12430,i want a flight departing from newark to los angeles that leaves in the morning,travel
12431,i want a train departing from newark to los angeles that leaves in the morning,travel
12432,list the flights from baltimore to seattle that stop in ;,travel
12433,list the flights from baltimore to chicago that stop in minneapolis,travel
12434,list the flights from baltimore to seattle that stop in minneapolis,travel
12435,"List the flights from Baltimore to seattle, which stop in minneapolis at the hour.",travel
12436,list the flights from chicago to seattle that stop in minneapolis,travel
12437,Take the flight flights from baltimore to seattle that are stationed in minneapolis.,travel
12438,list the trains from baltimore to seattle that stop in minneapolis,travel
12439,i need a flight from pittsburgh to new york departing after 5 pm,travel
12440,I want to go from pittsburgh to New York to the following day at 17:00.,travel
12441,i need a flight from chicago to new york departing after 5 pm,travel
12442,i need to board a fly from pittsburgh to new york to depart after 7 o'clock.,travel
12443,i need a flight from pittsburgh to new york departing after 5.,travel
12444,show me all flights from chicago to milwaukee on american airlines on wednesday,travel
12445,show me all flights from phoenix to milwaukee on united airlines on wednesday,travel
12446,show me all flights from phoenix to milwaukee on american airlines on wednesday,travel
12447,show me all flights from phoenix to denver on american airlines on wednesday,travel
12448,show me all flights from phoenix to milwaukee on american airlines on.,travel
12449,Show me flights from phoenix to milwaukee on american airlines wednesday.,travel
12450,Show me all u.s. flights from phoenix to milwaukee wednesday.,travel
12451,which are the least expensive flights between boston and baltimore on july nineteenth,travel
12452,which are the least expensive flights between dallas and baltimore on july nineteenth,travel
12453,"first time in july a flight between dallas and baltimore is cheapest, at the 19th time, by dallas until the 19th of June.",travel
12454,which are the least frequent flights between dallas and baltimore on july nineteenth,travel
12455,which are the least expensive flights between dallas and baltimore on the nineteenth,travel
12456,which are the least expensive flights between dallas and houston on july nineteenth,travel
12457,which are the least expensive flights between dallas and baltimore on july.,travel
12458,"the least expensive flight between dallas and baltimore in the july nineteenth, and the least expensive flight between delas and baltimore has been.",travel
12459,Show me everything from san francisco to denver.,travel
12460,Don't miss all flights that turn from San francisco to denver.,travel
12461,show me all. from san francisco to denver,travel
12462,show me all flights from san francisco to.,travel
12463,show me all flights from san francisco to denver,travel
12464,which airlines fly between seattle and san francisco,travel
12465,Which airline fly from baltimore to san francisco?,travel
12466,which airlines fly between baltimore and san.,travel
12467,which airlines fly between baltimore and san francisco,travel
12468,Which airlines fly between baltimore and San Francisco?,travel
12469,which would fly between baltimore and san francisco,travel
12470,what airlines fly from boston to denver,travel
12471,What airlines fly from boston to denver?,travel
12472,what airlines fly from boston to?,travel
12473,what airlines fly from denver to denver,travel
12474,Which airlines fly between boston and denver from boston to denver?,travel
12475,what could fly from boston to denver,travel
12476,round trip flights between chicago and las vegas,travel
12477,round trip flights between houston and las vegas,travel
12478,Round trip flights between houston and las vegas are all going on.,travel
12479,round trip flights between houston and las.,travel
12480,Leaving from houston to las vegas?,travel
12481,round trip service between houston and las vegas,travel
12482,Airbus plans to turn into phoenix in milwaukee for saturday or sunday.,travel
12483,what american airlines would depart milwaukee for phoenix on saturday or sunday,travel
12484,What airlines fly for milwaukee to fly forphoenix on saturday or sunday.,travel
12485,what american airlines flights depart daily for phoenix on saturday or sunday,travel
12486,what american airlines flights depart milwaukee for phoenix on saturday or sunday,travel
12487,what american airlines flights depart milwaukee for phoenix on saturday or.,travel
12488,whatcom airlines flights depart milwaukee for phoenix on saturday or sunday,travel
12489,what american airlines flights depart milwaukee for chicago on saturday or sunday,travel
12490,i m looking for a flight that goes from ontario to westchester and stops in chicago,travel
12491,i m looking for a flight that goes from ontario to westchester and stops in.,travel
12492,I'm looking for a flight that goes from ontario to westchester and stops in chicago.,travel
12493,I'm looking for a plane from ontario to westchester to which will stop in chicago.,travel
12494,i m looking for a route that goes from ontario to westchester and stops in chicago,travel
12495,i m looking for a flight that goes from ontario to westchester and ends in chicago,travel
12496,i m looking for a flight that goes from boston to westchester and stops in chicago,travel
12497,what is the cheapest one? ticket from denver to pittsburgh,travel
12498,what is the cheapest one way route from denver to pittsburgh,travel
12499,What's the cheapest one-way ticket from denver to pittsburgh.,travel
12500,what is the cheapest one way ticket from philadelphia to pittsburgh,travel
12501,what is the cheapest one way ticket from denver to?,travel
12502,what is the cheapest one way ticket from denver to pittsburgh,travel
12503,what is the only one way ticket from denver to pittsburgh,travel
12504,What's the cheapest one-way ticket from denver to pittsburgh?,travel
12505,what kind of airline is flight ua 281 from boston to?,travel
12506,what kind of airline is flying ua 281 from boston to denver,travel
12507,what kind of airline is flight # 281 from boston to denver,travel
12508,what kind of airline is flight ua 281 from boston to denver,travel
12509,Where is flight ua 281 from boston to denver?,travel
12510,what kind of airline is flight ua 281 from denver to denver,travel
12511,what kind of flight is flight ua 281 from boston to denver,travel
12512,what kind of airline is flight ua flying from boston to denver,travel
12513,What is the choice of transport carriers? Flight ua 212 from boston to denver is a flier of denver.,travel
12514,which airlines fly between boston and philadelphia,travel
12515,which would fly between boston and philadelphia,travel
12516,Which airlines fly between boston and philadelphia?,travel
12517,Which airlines fly by boston and philadelphia from two countries?,travel
12518,which airlines fly between boston and?,travel
12519,which airlines fly between philadelphia and philadelphia,travel
12520,list nonstop flights from baltimore washington airport to oakland that depart in the afternoon,travel
12521,list nonstop flights from baltimore international airport to oakland that depart in the afternoon,travel
12522,list nonstop flights from baltimore washington airport to destinations that depart in the afternoon,travel
12523,list nonstop flights from baltimore washington airport to oakland that depart in the morning,travel
12524,list of flights from baltimore washington airport to oakland that depart in the afternoon,travel
12525,list nonstop flights from baltimore washington dc to oakland that depart in the afternoon,travel
12526,list nonstop flights from george washington airport to oakland that depart in the afternoon,travel
12527,List nonstop flights from baltimore washington airport to oakland that depart in the afternoon.,travel
12528,List nonstop flights from baltimore washington airport to oakland that will depart in the afternoon.,travel
12529,please list fares for all the trains from atlanta to philadelphia on august the first,travel
12530,Please list all the flights from atlanta to philadelphia on August first.,travel
12531,please list fares for all the flights from atlanta to philadelphia on tuesday the first,travel
12532,Please list the fares of all flights that departing atlanta to philadelphia on august the first of every twelve o'clock.,travel
12533,please list fares for all the flights from boston to philadelphia on august the first,travel
12534,please list fares for all the flights from atlanta to philadelphia on august the first,travel
12535,please list them for all the flights from atlanta to philadelphia on august the first,travel
12536,Show me the planes that go through the houston route from san diego to newark on the coast of new jersey.,travel
12537,show me the flights that go from san diego to newark new jersey by way of.,travel
12538,show me the flights that go from san diego to newark new jersey by way of houston,travel
12539,show me the buses that go from san diego to newark new jersey by way of houston,travel
12540,show me the flights that go from san diego to central new jersey by way of houston,travel
12541,show me the flights that go from san diego to newark new york by way of houston,travel
12542,show me the flights that go from san francisco to newark new jersey by way of houston,travel
12543,show me the flights that go from san diego to new ark new jersey by way of houston,travel
12544,Show me the new jersey houston passengers who go from san diego to Newark.,travel
12545,What flights will take the trains from dallas to pittsburgh on monday evening?,travel
12546,what flights are there from dallas to pittsburgh on monday?,travel
12547,what flights are there from chicago to pittsburgh on monday morning,travel
12548,What flights will take from dallas to pittsburgh by monday morning?,travel
12549,what flights are there from dallas to chicago on monday morning,travel
12550,what flights are there from dallas to pittsburgh on sunday morning,travel
12551,what flights are there from dallas to pittsburgh on monday morning,travel
12552,what kind of aircraft is used on the first class american airlines flight from philadelphia to san francisco stopping in?,travel
12553,what kind of equipment is used on the first class american airlines flight from philadelphia to san francisco stopping in dallas,travel
12554,what kind of aircraft is used on the first class american eagle flight from philadelphia to san francisco stopping in dallas,travel
12555,When is the first class american flight from philadelphia to san francisco stop in dallas?,travel
12556,what kind of aircraft is used on the first class american airlines flight from philadelphia to san francisco stopping in dallas,travel
12557,what kind of aircraft is used on the first ever american airlines flight from philadelphia to san francisco stopping in dallas,travel
12558,Where can American airlines turn from philadelphia to san francisco in dallas to train you?,travel
12559,what kind of aircraft is used on the first class american airlines flight from chicago to san francisco stopping in dallas,travel
12560,what kind of aircraft is used on the first class united airlines flight from philadelphia to san francisco stopping in dallas,travel
12561,what is the cost of round trip ticket first class between oakland and?,travel
12562,What is the cost of a first class round trip ticket between oakland and atlanta?,travel
12563,what is the cost of round trip ticket first class between oakland and atlanta,travel
12564,what is the cost of round trip in first class between oakland and atlanta,travel
12565,what is the purpose of round trip ticket first class between oakland and atlanta,travel
12566,what is the first class trip tickets charge in oakland and atlanta?,travel
12567,what is the cost of round trip ticket first class between chicago and atlanta,travel
12568,what is the cost of a trip ticket first class between oakland and atlanta,travel
12569,i need flight information after Friday. I need to make a flight from philadelphia to dallas.,travel
12570,i need more information on saturday for a flight from philadelphia to dallas,travel
12571,i need flight information on saturday for a flight from philadelphia to dallas,travel
12572,i need flight information on you for a flight from philadelphia to dallas,travel
12573,i need information for flight from philadelphia to dallas on saturday.,travel
12574,i need flight time on saturday for a flight from philadelphia to dallas,travel
12575,i need flight information on saturday for a flight from chicago to dallas,travel
12576,i need flight information on saturday for a flight from philadelphia to.,travel
12577,what night flight do you have from san francisco to washington on united on the evening of august twenty seventh,travel
12578,How late do you have from San francisco to denver on united on the evening of august twenty seven (two o'clock in the year of 18 august o'clock).,travel
12579,what night flight do you have from san francisco to denver on united on the evening of august twenty seventh,travel
12580,What night flight do you like on united nights on July two hundred and seven.,travel
12581,what night flight do you have from san francisco to denver on united on the evening of the twenty seventh,travel
12582,what night flight do you have from san francisco to denver on wednesday on the evening of august twenty seventh,travel
12583,what night flight do you have from san francisco to denver on united on the evening of august twenty?,travel
12584,what night flight do you have from san francisco to denver on united on the morning of august twenty seventh,travel
12585,what time flight do you have from san francisco to denver on united on the evening of august twenty seventh,travel
12586,what night flight do you have from san francisco to denver on united on the evening of august the seventh,travel
12587,what are the flights from boston to dallas on october first 1991,travel
12588,what are the flights from philadelphia to boston on october first 1991,travel
12589,what are the flights from philadelphia to dallas on october first 1991,travel
12590,what were the flights from philadelphia to dallas in october 1991?,travel
12591,what are the flights from philadelphia to dallas on october first?,travel
12592,what are the october 1991 flights from philadelphia to dallas.,travel
12593,what are the flights from philadelphia to dallas on sunday first 1991,travel
12594,List your flights from boston to denver on tuesday night.,travel
12595,list all tuesday night flights from denver to denver,travel
12596,list all tuesday night flights from boston to.,travel
12597,list all late night flights from boston to denver,travel
12598,List all tuesday night flights from boston to denver.,travel
12599,list all tuesday night flights from boston to denver,travel
12600,and all tuesday night flights from boston to denver,travel
12601,list all tuesday night trains from boston to denver,travel
12602,what flights available between pittsburgh and baltimore on the eleventh,travel
12603,What flight is scheduled for pittsburgh and baltimore on august eleventh,travel
12604,what flights available between pittsburgh and baltimore on august eleventh,travel
12605,what flights available between pittsburgh and pittsburgh on august eleventh,travel
12606,what flights were between pittsburgh and baltimore on august eleventh,travel
12607,what flights available between pittsburgh and baltimore on august.,travel
12608,what flights available between boston and baltimore on august eleventh,travel
12609,what was available between pittsburgh and baltimore on august eleventh,travel
12610,"what flights between pittsburgh and baltimore will be available on August eleventh, when the main flight will go on mars 11, 2017.",travel
12611,"i want a flight from denver to pittsburgh, then from pittsburgh to atlanta and then from atlanta back to pittsburgh back to denver.",travel
12612,i want a train from denver to pittsburgh then from pittsburgh to atlanta then from atlanta back to pittsburgh back to denver,travel
12613,i want a flight from denver to pittsburgh then from pittsburgh to atlanta then from atlanta back to pittsburgh back to denver,travel
12614,"I want to depart from denver to pittsburgh, then from pittsburgh to atlanta and then from atlanta back to pittsburgh back to denver.",travel
12615,give me a flight from newark to tampa on friday,travel
12616,give me a flight from miami to tampa on friday,travel
12617,Don't be allowed to go to tampa from newark on friday.,travel
12618,give me a flight from newark to tampa on.,travel
12619,You can flog from Newark to tampa on friday.,travel
12620,give me a ride from newark to tampa on friday,travel
12621,What are the flights between pittsburgh and baltimore via baltimore?,travel
12622,what are the flights from philadelphia to baltimore,travel
12623,what are the miles from pittsburgh to baltimore,travel
12624,what are the flights from pittsburgh to baltimore from pittsburgh?,travel
12625,what are the flights from pittsburgh to baltimore,travel
12626,list the southwest airlines flights from dallas to san francisco,travel
12627,list the american eagle flights from dallas to san francisco,travel
12628,list the american airlines flights from dallas to san francisco,travel
12629,list the american airlines route from dallas to san francisco,travel
12630,List the cheap flights from dallas to san francisco.,travel
12631,List the american airlines flights from dallas to san francisco.,travel
12632,list the american airlines flights from chicago to san francisco,travel
12633,what afternoon flights are available from pittsburgh to atlanta on a weekday,travel
12634,what afternoon flights are available from pittsburgh to atlanta on a.,travel
12635,what afternoon services are available from pittsburgh to atlanta on a weekday,travel
12636,what if flights are available from pittsburgh to atlanta on a weekday,travel
12637,What afternoon flights are available from pittsburgh to atlanta on a weekday from pittsburgh to atlanta.,travel
12638,What afternoon flights are available in a week for pittsburgh and atlanta from noon on weekend?,travel
12639,what afternoon flights are available from chicago to atlanta on a weekday,travel
12640,"what does the ""abbreviation alou"" mean to her.",travel
12641,what does the acronym ua mean for oneself?,travel
12642,what does the word ua mean,travel
12643,what does the abbreviation ua mean,travel
12644,i d like a flight on united airlines from dallas to san francisco that leaves after 815 am,travel
12645,i d like a flight on southwest airlines from dallas to san francisco that leaves after 815 am,travel
12646,I want to get free flight from dallas to san francisco from 815 am.,travel
12647,I want to book from dallas to san francisco's flight after 815.,travel
12648,i d like a flight on united airlines from dallas to san francisco that leaves after noon am,travel
12649,i d like a flight on united airlines from seattle to san francisco that leaves after 815 am,travel
12650,what is the fare on united airlines flight 928 from dallas fort worth to boston,travel
12651,what is the fare on american airlines flight 928 from dallas fort worth to?,travel
12652,what is the fare on american airlines flight 928 from dallas fort worth to boston,travel
12653,what is the address on american airlines flight 928 from dallas fort worth to boston,travel
12654,what is the fare on american airlines flight 7 from dallas fort worth to boston,travel
12655,What is the cost of passengers landing on flight 928 of dallas to boston from the dallas border to octobers?,travel
12656,What does the cost of flight 928 a carrier of dallas fort worth to boston is it from dallas to dallas flight fort worth the cost of flights to boston.,travel
12657,service from indianapolis to seattle washington,travel
12658,flights from indianapolis to seattle washington,travel
12659,From the indianapolis to the seattle washington flights for the washington area.,travel
12660,flights from indianapolis to fort washington,travel
12661,flights from indianapolis to seattle ;,travel
12662,flights from portland to seattle washington,travel
12663,"From indianapolis to washington, a washington flight goes north to seattle.",travel
12664,which airline is the cheapest to fly from dallas to baltimore on december twenty?,travel
12665,which airline is the cheapest to fly from philadelphia to baltimore on december twenty fourth,travel
12666,which airline is the first to fly from dallas to baltimore on december twenty fourth,travel
12667,which airline is the cheapest to fly from dallas to baltimore on december twenty fourth,travel
12668,which plane is the cheapest to fly from dallas to baltimore on december twenty fourth,travel
12669,which airline is the cheapest to fly from dallas to baltimore on december the fourth,travel
12670,Which airline airlines can fly the most from dallas to baltimore in december twenty fourth is the cheapest one to fly from dallas to december 2.,travel
12671,which airline is the cheapest to fly from dallas to baltimore on the twenty fourth,travel
12672,Which flight has the cheapest flight from dallas to baltimore by 21th december?,travel
12673,How much does a typical meal between boston and washington for round trip first class?,travel
12674,How much do the first class excursion between boston and washington cost between boston and washington for round trip?,travel
12675,how much is a round trip first class service between boston and washington,travel
12676,how much is a round trip first class fare between seattle and washington,travel
12677,how much is a round trip first class fare between boston and washington,travel
12678,how much is a round trip first class fare between boston and?,travel
12679,i d like to find a flight from tampa to montreal that makes a stop in new york,travel
12680,"I want to meet in New York a flight from tampa to montreal, in order to make the stops.",travel
12681,i would like to take the flight from texas to montreal that stops at the foot of New York.,travel
12682,i d like to find a flight from tampa to montreal that makes a difference in new york,travel
12683,i d like to find a flight from toronto to montreal that makes a stop in new york,travel
12684,i d like to find a flight from tampa to montreal that makes a stop in new.,travel
12685,i d like to find a train from tampa to montreal that makes a stop in new york,travel
12686,show the flights that leave philadelphia that go to atlanta that leave early on thursday.,travel
12687,show the flights that leave philadelphia that go to philadelphia that leave early on thursday morning,travel
12688,show the flights that leave philadelphia that go to atlanta that leave early on thursday morning,travel
12689,show the buses that leave philadelphia that go to atlanta that leave early on thursday morning,travel
12690,Show the flights that fly to atlanta that go to philadelphia that leave later on on Tuesday afternoon.,travel
12691,show the flights that leave and that go to atlanta that leave early on thursday morning,travel
12692,show the flights that leave philadelphia that go to atlanta that leave early on sunday morning,travel
12693,"show the flights that depart philadelphia, that go to atlanta and leave early on thursday morning, leaving early in the morning.",travel
12694,show me the airlines for flights to or from the field,travel
12695,Show me the airlines for flights to or from loves field.,travel
12696,Show me the carriers of flight to or from love field.,travel
12697,show me the airlines for flights to or from love field,travel
12698,show me the directions for flights to or from love field,travel
12699,show me the airlines for flights to or from love.,travel
12700,how many flights does each flight have with first class service,travel
12701,how many years does each airline have with first class service,travel
12702,What parts does each airline have on first class flights?,travel
12703,how many flights does each airline have with first class service,travel
12704,how many flights does each airline have with first class?,travel
12705,how many flights does each airline have with first air service,travel
12706,How many flight do each airline have by first class service?,travel
12707,show me next wednesday s. between phoenix and milwaukee,travel
12708,show me next's flights between phoenix and milwaukee,travel
12709,Next wednesday we will have a flight from phoenix to milwaukee.,travel
12710,Next wednesday the flight between phoenix and milwaukee will be shown to me.,travel
12711,show me next wednesday s flights between phoenix and milwaukee,travel
12712,show me next wednesday s flights between phoenix and.,travel
12713,show me next wednesday s flights between chicago and milwaukee,travel
12714,Tell me how the planes of philadelphia to baltimore have flown from philadelphia to baltimore.,travel
12715,show me everything from philadelphia to baltimore,travel
12716,show me flights from philadelphia to baltimore,travel
12717,Help me get on a flight from philadelphia to baltimore.,travel
12718,show me flights from boston to baltimore,travel
12719,round trip flights from pittsburgh to philadelphia are less than 1 thousand dollars.,travel
12720,round trip air fares from boston to philadelphia less than 1000 dollars,travel
12721,round trip air fares from pittsburgh to philadelphia less than 1000 ;,travel
12722,Red card airfare from pittsburgh tophiladelphia: less than a thousand dollars.,travel
12723,round trip air service from pittsburgh to philadelphia less than 1000 dollars,travel
12724,round trip passenger fares from pittsburgh to philadelphia less than 1000 dollars,travel
12725,round trip air fares from pittsburgh to philadelphia less than five dollars,travel
12726,round trip air fares from pittsburgh to philadelphia less than 1000 dollars,travel
12727,show me the flights from boston to san francisco leaving after 4 pm on friday,travel
12728,show me the train from boston to san francisco leaving after 4 pm on friday,travel
12729,show me the flights from boston to san francisco leaving after 4 pm on.,travel
12730,show me the flights from boston to san francisco leaving after 6 pm on friday,travel
12731,show me the flights from boston to san francisco leaving after 4pm on friday,travel
12732,Show me the flights from boston to san francisco leaving after 4 pm friday.,travel
12733,Monday 6:23:01 p.m.,travel
12734,show me the flights from seattle to san francisco leaving after 4 pm on friday,travel
12735,What is code y for?,travel
12736,what does code y stand for,travel
12737,What am code y?,travel
12738,What's the cheapest round trip from denver to atlanta from denver to atlanta?,travel
12739,what is the cheapest round trip? from denver to atlanta,travel
12740,what is the cheapest round trip flight from chicago to atlanta,travel
12741,what is the last round trip flight from denver to atlanta,travel
12742,What is the cheapest round trip from denver to atlanta to atlanta?,travel
12743,what is the cheapest round trip flight from denver to?,travel
12744,what is the cheapest round trip flight from denver to atlanta,travel
12745,can you show me flights that are first class from baltimore to dallas,travel
12746,can you show me flights that are economy class from baltimore to dallas,travel
12747,Give me flights Economy Class on baltimore to dallas.,travel
12748,can you show me places that are economy class from baltimore to dallas,travel
12749,can you show me flights that are economy service from baltimore to dallas,travel
12750,can you show me flights that are economy class from baltimore to?,travel
12751,can you show me flights that are economy class from denver to dallas,travel
12752,Show me a plane class from baltimore to dallas.,travel
12753,ground transportation ;,travel
12754,ground transportation denver,travel
12755,ground in denver,travel
12756,public transportation denver,travel
12757,Denver for ground transportation.,travel
12758,Transport to the ground negotiator.,travel
12759,what is the earliest ship from boston to san francisco that serves a meal,travel
12760,what is the first flight in san francisco from boston to san francisco to serve a meal is what the first flight then arrives in san francisco instead of the earliest flight.,travel
12761,what is the earliest flight from boston to san francisco that serves a.,travel
12762,what is the earliest flight from chicago to san francisco that serves a meal,travel
12763,what is the earliest flight from boston to san francisco that serves a meal,travel
12764,what's the first trip from boston to san francisco to eat a meal.,travel
12765,what is the only flight from boston to san francisco that serves a meal,travel
12766,what ground access is available at denver airport,travel
12767,what ground transportation is available at denver?,travel
12768,what public transportation is available at denver airport,travel
12769,Which ground transportation is free at the denver airport?,travel
12770,Where to use ground transportation at the denver airport?,travel
12771,what ground transportation is available at denver airport,travel
12772,what ground transportation is available at this airport,travel
12773,okay i m sorry could you tell me what flights leave atlanta and arrive in philadelphia around 5 o.,travel
12774,okay i m sorry could you tell me what flights leave atlanta and arrive in philadelphia around ten o clock,travel
12775,okay i m sorry could you tell me what flights leave philadelphia and arrive in philadelphia around 5 o clock,travel
12776,"but forgive me for saying what makes atlanta a destination and which atlanta are available early in the evening, anywhere between 5 and 5 at the latest.",travel
12777,"Maybe you'll tell me how many flights depart atlanta, and where you can arrive in philadelphia around 5 o'clock.",travel
12778,okay i m sorry could you tell me what flights leave atlanta and arrive in philadelphia around 5 o clock,travel
12779,- kay i m sorry could you tell me what flights leave atlanta and arrive in philadelphia around 5 o clock,travel
12780,okay i m sorry could you tell me what flights leave atlanta and arrive in miami around 5 o clock,travel
12781,okay i m sorry could you tell me what time leave atlanta and arrive in philadelphia around 5 o clock,travel
12782,and how much does it cost to travel from the airport to downtown,travel
12783,and how much does it cost to travel from boston airport to downtown?,travel
12784,and how much does it cost to travel from boston airport to?,travel
