,value,category
724, i want a evening flight from dallas to milwaukee,travel
725, let's look at baltimore to philadelphia again,travel
726, what are the prices of the flights from dallas to baltimore,travel
727, what kind of airplane is flight ua 281 from boston to denver,travel
728, how many first class flights does united have today,travel
729, what does ua stand for,travel
730, can i go from boston to san francisco with a stopover in denver,travel
731, can you tell me which flight from dallas to baltimore has the least expensive fare,travel
732, show me the latest flight to love field,travel
733, what type of plane is an m80,travel
734, what is the earliest flight that i can take from boston to baltimore,travel
735, list the nonstop flights on wednesday june second from miami to washington arriving in washington between 1115 am and 1245 pm,travel
736, i would like to fly from st. paul to san jose monday morning from san jose to houston tuesday morning and from houston to st. paul on wednesday morning,travel
737, what is fare code m,travel
738, show me ground transportation in baltimore,travel
739, what are all the flights on delta in and out of fort worth,travel
740, show me all the flights from baltimore to columbus,travel
741, i want to fly from boston to atlanta i would like the cheapest fare please,travel
742, would you tell me the cheapest one way fare from boston to oakland,travel
743, is there ground transportation from the airport to downtown phoenix,travel
744, does the phoenix airport have ground transportation to and from downtown,travel
745, give me the flights from milwaukee to st. louis leaving sunday morning,travel
746, what is sa,travel
747, a flight on continental airlines leaving boston and going to denver,travel
748, show me all meals on flights from atlanta to washington,travel
749, saturday flights from las vegas to phoenix,travel
750, i would like to find the least expensive flight from boston to denver,travel
751, show me flights arriving in baltimore from pittsburgh between 4 and 5 pm,travel
752, i need a flight delta airlines kansas city to salt lake,travel
753, can you list all flights from washington to toronto,travel
754, show all nonstop flights from boston to san francisco,travel
755, show flights between toronto and san francisco,travel
756, show me the flights between boston and san francisco denver and san francisco boston and denver,travel
757, ground transportation oakland,travel
758, show me all daily flights between milwaukee and orlando,travel
759, what flights from kansas city to atlanta arriving before 10 am on monday,travel
760, what flights leave philadelphia for dallas and depart before noon on american airlines,travel
761, airlines that fly to miami from new york on friday,travel
762, what flights leave seattle on sunday on continental after 9 pm,travel
763, what is the earliest flight from washington to san francisco on friday that serves breakfast,travel
764, what do you have going from atlanta to philadelphia serving breakfast,travel
765, i'd like to see flights from pittsburgh to atlanta,travel
766, what flights are available with q fares from boston to pittsburgh,travel
767, is there ground transportation from the milwaukee airport to the downtown area,travel
768, flights from pittsburgh to newark,travel
769, i want to go between boston and san francisco,travel
770, show departures from atlanta for american,travel
771, show me the flights available from dallas to baltimore august third,travel
772, show me fares from philadelphia to san francisco on thursday morning,travel
773, please list the flight times from pittsburgh to newark,travel
774, how far is downtown from the airport in dallas,travel
775, what flights from any city land at general mitchell international,travel
776, show me ground transportation information for san francisco,travel
777, could you find me the cheapest fare from boston to san francisco,travel
778, please list information regarding san francisco airport,travel
779, show me flights between milwaukee and phoenix on saturday or sunday american airlines,travel
780, i'd like a first class flight from denver to baltimore on january first,travel
781, what's the name of the denver airport,travel
782, list all the takeoffs and landings at general mitchell airport,travel
783, show me the flights arriving around noon in baltimore from denver,travel
784, on tuesday i'd like to find a flight from detroit to st. petersburg that arrives before 10 pm,travel
785, i'd like a flight tomorrow from kansas city to newark in the morning,travel
786, list the flights from philadelphia to san francisco which have a layover in dallas,travel
787, now i need a flight leaving fort worth and arriving in denver no later than 2 pm next monday,travel
788, flights from san jose to st. paul,travel
789, i want information on flights from atlanta to washington dc give me information on flights after 4 pm on wednesday,travel
790, show ground transportation for pittsburgh,travel
791, what is the earliest flight in the morning from boston to pittsburgh,travel
792, morning flight from atlanta to philadelphia,travel
793, what are the cheapest flights from pittsburgh to atlanta,travel
794, show morning flights from san francisco to pittsburgh,travel
795, what are the first class and coach fares for flights from chicago to kansas city arriving around 7 pm next thursday,travel
796, show me all flights from dallas to pittsburgh on monday which leave after 8 o'clock pm,travel
797, find me the cheapest one way fare i can get from boston to denver,travel
798, show me the flights from atlanta to denver on friday,travel
799, what's the cheapest flight from san francisco to boston,travel
800, please list the flight times from boston to pittsburgh,travel
801, is there a flight between washington dc and san francisco on us air at 8 am,travel
802, show me all flights from pittsburgh which leave tomorrow and arrive in boston,travel
803, how many seats in a 72s,travel
804, what does fn under fare code mean,travel
805, all am flights departing pittsburgh arriving denver,travel
806, what flights leave after 7 pm from pittsburgh to philadelphia,travel
807, show flights from philadelphia to san francisco,travel
808, what flights leave chicago and arrive in detroit around 6 pm next tuesday,travel
809, what does it cost to fly from boston to oakland on united airlines,travel
810, how much is a flight from washington to montreal,travel
811, is there limousine service available at baltimore airport,travel
812, what are the morning flights in the next two days from nashville to tacoma,travel
813, what is the last flight leaving san francisco going to washington on friday,travel
814, what are the flights from dallas to san francisco on tuesday october first,travel
815, does united airlines fly from boston to dallas fort worth,travel
816, please list the flight schedule from baltimore to san francisco on friday nights,travel
817, flights from cleveland to kansas city on monday,travel
818, i would like to find a flight that goes from boston to orlando i would like it to have a stop in new york and i would like a flight that serves breakfast,travel
819, what are the lowest one way fares from atlanta to pittsburgh,travel
820, okay and then from pittsburgh i'd like to travel to atlanta on september fourth,travel
821, what flights go from pittsburgh to baltimore after 8 o'clock next wednesday,travel
822, how much does it cost to get downtown from the atlanta airport by limousine,travel
823, i would like to fly from boston to san francisco,travel
824, show me the airfare from pittsburgh to san francisco,travel
825, are there any flights on june eleventh from st. petersburg to milwaukee,travel
826, what is hp,travel
827, show me the type of aircraft that cp uses,travel
828, show me flights from pittsburgh to san francisco on sunday,travel
829, what type of aircraft does eastern fly from atlanta to denver before 6 pm,travel
830, can you list all flights from chicago to milwaukee,travel
831, display all flights from denver to san francisco on august seven,travel
832, what are the most expensive first class tickets between boston and san francisco,travel
833, which of the flights from pittsburgh to baltimore on july twenty fifth 1991 carries the smallest number of passengers,travel
834, show me all the flights to baltimore after 6 o'clock pm,travel
835, what airlines go from atlanta to baltimore,travel
836, what does fare code qo mean,travel
837, show me flights from baltimore to dallas,travel
838, what does the abbreviation co mean,travel
839, can you list all flights between milwaukee and chicago,travel
840, what are the air restrictions on flights from pittsburgh to atlanta for the airfare of 416 dollars,travel
841, last nonstop flight from los angeles to pittsburgh on monday night,travel
842, what is the earliest flight from boston to san francisco,travel
843, i would like an early morning flight from chicago into seattle on june first on continental airline,travel
844, what would be cost of a round trip from pittsburgh to san francisco,travel
845, show me the flights from dallas to baltimore,travel
846, give me the flights from baltimore to pittsburgh,travel
847, please list the flights from charlotte to long beach arriving after lunch time,travel
848, what flights are available between philadelphia and denver on september sixteenth,travel
849, what type of aircraft leaving after 2 pm from boston to oakland,travel
850, i would like the cheapest flight from boston to san francisco,travel
851, are there any flights from boston to oakland that stop,travel
852, i would like to find a flight from pittsburgh to boston on wednesday and i have to be in boston by one so i'd like a flight out of here no later than 11 am,travel
853, i need information on a flight from washington to fort worth,travel
854, can you tell me what flights you have from baltimore to dallas,travel
855, what are the ground transportation services in philadelphia,travel
856, give me flights from baltimore to denver on united that offer first class,travel
857, does american airlines have a flight from pittsburgh to atlanta,travel
858, all flights and fares from atlanta to dallas round trip after 12 pm less than 1100 dollars,travel
859, list flights from denver to baltimore,travel
860, i would like a list of the round trip flights between indianapolis and orlando on the twenty seventh or the twenty eighth of december,travel
861, i need a return flight from denver to atlanta,travel
862, i'd like a flight from burbank to tacoma washington,travel
863, what flights from atlanta to washington,travel
864, please list all flights from atlanta to baltimore on wednesday and thursday,travel
865, what is the latest flight between washington and boston,travel
866, explain the restriction ap 57,travel
867, the latest flight from baltimore to oakland please and i'd like a meal with that,travel
868, what are the flights on january first 1992 from boston to san francisco,travel
869, on november twenty third what flights are available between boston and denver,travel
870, list nonstop flights on sunday from new york to las vegas and list nonstop flights on sunday from memphis to las vegas,travel
871, show me the list of flights from dallas to baltimore on american and delta airlines,travel
872, what does us stand for,travel
873, could you show me all weekday flights from phoenix to denver,travel
874, show me all united airlines first class flights,travel
875, what is hp,travel
876, what is the price of a first class ticket from milwaukee to san francisco round trip,travel
877, find a flight on delta from philadelphia to san francisco,travel
878, i'm trying to find the flight number from a flight from orlando to cleveland on us air and it arrives around 10 pm,travel
879, what are the costs of flights from dallas to boston tomorrow,travel
880, what flights go from philadelphia to dallas via atlanta,travel
881, what's the cheapest round trip fare between boston and washington,travel
882, what are the flights between dallas and pittsburgh on july eight,travel
883, show me flights from milwaukee to orlando on thursday morning,travel
884, what flights are available from boston to dallas,travel
885, i want to leave boston at 838,travel
886, kindly give me the type of aircraft used to fly from atlanta to denver,travel
887, can you show me flights from dallas to atlanta on tuesday night,travel
888, is there ground transportation from atlanta airport to downtown atlanta,travel
889, are there any limousines or taxi services available at the boston airport,travel
890, on eastern flight 825 flying from atlanta to denver can you tell me what type of aircraft is used on a flight when it leaves at 555,travel
891, how do i get from the airport to downtown in tacoma,travel
892, tuesday morning flights between charlotte and baltimore,travel
893, show me flights from atlanta to washington,travel
894, show me all flights from atlanta to san francisco which leave atlanta after 5 o'clock pm tomorrow,travel
895, round trip fares from denver to philadelphia less than 1000 dollars,travel
896, i want to fly from milwaukee to orlando on wednesday evening,travel
897, how many daily us air flights are there between philadelphia and pittsburgh,travel
898, show me all the northwest flights from new york to milwaukee that leave at 720 am,travel
899, how long does it take to get from atlanta airport into the city of atlanta,travel
900, what's the cheapest way to fly between atlanta and denver,travel
901, what are the fares for flights from la to newark leaving monday morning,travel
902, give me the list of flights for continental airlines between boston and denver,travel
903, can i see ground transportation from long beach airport to downtown,travel
904, i want a flight from atlanta to pittsburgh,travel
905, us 201,travel
906, what flights are available from pittsburgh to oakland airport,travel
907, afternoon flight from denver to san francisco,travel
908, show me all the flights from charlotte to cleveland,travel
909, show me the flights on twa to atlanta in the morning,travel
910, do all the flights to oakland land at the same place,travel
911, show me the flights from st. petersburg to toronto that arrive before noon,travel
912, how much is a first class ticket from baltimore to san francisco,travel
913, please give me all flights from long beach to memphis,travel
914, i want to fly nonstop from denver to dallas,travel
915, what is the earliest flight leaving boston on july first to dallas on july first,travel
916, i'd like a flight tomorrow evening from nashville to houston that includes dinner for tomorrow,travel
917, show me the flights from denver to san diego leaving after 5 pm,travel
918, what flights go from san francisco to washington via indianapolis,travel
919, can you help me with ground transportation information i need to get from the airport in philadelphia to downtown philadelphia,travel
920, show me the earliest flight on wednesday from baltimore to newark,travel
921, could you please give me the round trip fare from denver to atlanta,travel
922, show sunday flights from seattle to chicago,travel
923, what flights depart from pittsburgh and arrive in oakland california,travel
924, flights from houston to los angeles departing after 1026,travel
925, i would like a flight from pittsburgh to san francisco on august twentieth,travel
926, show me flights from dallas to atlanta,travel
927, please give all flights from dallas to oakland california monday,travel
928, what flights are available wednesday morning from boston to denver,travel
929, show me the flights from pittsburgh to baltimore arriving in baltimore on june fourteenth,travel
930, list the morning flights at a 124 dollars from atlanta to boston,travel
931, show me the flights from denver to philadelphia on a saturday,travel
932, i need to fly from boston to denver and then to san francisco and back to boston,travel
933, what is the cheapest flight on american airlines from cleveland to miami,travel
934, show me flights available from atlanta to baltimore leaving on monday morning,travel
935, what's the earliest flight from pittsburgh to baltimore on thursday morning,travel
936, what ground transportation is available in boston,travel
937, what is the latest flight leaving pittsburgh returning to denver,travel
938, does lufthansa fly between boston and oakland,travel
939, show me flights from boston to washington leaving july fifteen,travel
940, list all the landings at general mitchell international,travel
941, how many first class flights does delta have today,travel
942, are there any nonstop flights from indianapolis to san diego on wednesday may twelfth,travel
943, what are the flights which depart from san francisco fly to washington via indianapolis and arrive by 9 pm,travel
944, please list the flights from dallas fort worth to boston on july twenty third,travel
945, hello i would like to plan a flight on american airlines from boston to denver,travel
946, what are the two american airlines flights that leave from dallas to san francisco in the evening,travel
947, what flights do you have from baltimore to san francisco,travel
948, i'd like a nonstop flight from indianapolis to san diego that serves dinner what's available,travel
949, what times on wednesday could i take a plane from denver to oakland,travel
950, show me ground transportation for boston,travel
951, are there any flights from boston to san francisco which stop in denver,travel
952, what airlines have business class,travel
953, please give me all flights from long beach to memphis,travel
954, flight from denver to dallas fort worth,travel
955, list flights from san francisco to pittsburgh,travel
956, i'd like to know what type of plane flies from boston to dallas fort worth after 530,travel
957, please tell me the times of the flights between boston and baltimore,travel
958, find a flight from philadelphia to san francisco please on delta,travel
959, what is the cost of a ticket going from denver to boston july twenty fifth 1991,travel
960, flight numbers from minneapolis to long beach on june twenty six,travel
961, i'm looking for a flight from oakland to denver with a stopover in dallas fort worth,travel
962, show me first class airlines from san francisco to pittsburgh on next tuesday first class only,travel
963, what flights are there on saturdays from philadelphia to denver,travel
964, i need a flight from denver to washington dc on wednesday,travel
965, show me the flights from columbus to charlotte,travel
966, oh let's see does eastern airline have a flight from atlanta to washington,travel
967, what is the price of business class from boston to san francisco on twa,travel
968, flights from atlanta to dallas in the afternoon,travel
969, eastern flight 825 from atlanta to denver leaving at 555 what type of aircraft is used on that flight,travel
970, what are all the flights between san francisco and boston,travel
971, define airline us,travel
972, i want to fly philadelphia to san francisco on july eighth,travel
973, find a flight from boston to washington on monday,travel
974, give me information on flights from atlanta to washington dc on wednesday after 4 pm and thursday before 9 am,travel
975, find the flights from boston to san francisco leaving after 6 pm,travel
976, show me the cheapest fare from dallas to baltimore,travel
977, i live in denver and i'd like to make a trip to pittsburgh,travel
978, give me flights that arrive in baltimore from atlanta denver and pittsburgh,travel
979, hello i'm trying to find a flight that goes from pittsburgh to denver after 2 pm,travel
980, what airlines fly between boston and san francisco,travel
981, code ff,travel
982, what is the earliest flight from boston to san francisco on november seventh,travel
983, list all flights from boston to san francisco on us air,travel
984, i would like a list of flights from pittsburgh to dallas,travel
985, on november twenty third of this year 1991 i'd like to fly from atlanta to denver and i'd like to fly on delta,travel
986, do you have any airlines that would stop at denver on the way from baltimore to san francisco,travel
987, list all flights from tampa florida to miami that are the cheapest one way,travel
988, list the nonstop flights on wednesday june second from miami to baltimore arriving in baltimore between 1115 am and 1245 pm,travel
989, give me flights from san francisco to boston on thursday afternoon,travel
990, denver to atlanta,travel
991, what's the last flight leaving from pittsburgh to oakland,travel
992, does any airline have an afternoon flight from boston to oakland,travel
993, do you have a flight from philadelphia to san francisco with a stopover in dallas,travel
994, i want to make a trip from washington to san francisco,travel
995, i would like information on flights leaving atlanta in the afternoon arriving in dallas,travel
996, show me all flights from san diego to new york nonstop,travel
997, show me all flights with fares from pittsburgh to san francisco,travel
998, what are the flights from milwaukee to tampa,travel
999, list the flights from salt lake city to st. petersburg,travel
1000, what are the least expensive flights from denver to atlanta,travel
1001, list united flights from denver to san francisco on tuesdays or wednesdays,travel
1002, show me the flights on delta or twa which go through atlanta,travel
1003, is there a flight leaving san francisco to denver,travel
1004, show flights leaving boston on wednesday morning and arriving in denver,travel
1005, what airlines fly from boston to atlanta,travel
1006, cheapest fare from indianapolis to seattle,travel
1007, show me all daily flights out of boston that have coach class,travel
1008, i need an early flight from denver to san francisco please and i would like breakfast served on that,travel
1009, dallas to baltimore,travel
1010, may i have a listing of flights on monday from minneapolis to long beach california please,travel
1011, 630 am flight on august twenty seventh from atlanta to dallas,travel
1012, i need a flight from philadelphia to san francisco next wednesday,travel
1013, now show me the flights from denver to philadelphia on a saturday,travel
1014, what is the total seating capacity of all aircraft of american airlines,travel
1015, show me all flights from denver to burbank,travel
1016, show me all flights from san francisco that go to boston baltimore or philadelphia,travel
1017, please list all the flights from boston to san francisco leaving before 10 am,travel
1018, shortest flights from nashville to st. petersburg,travel
1019, what delta flights from cincinnati to new york city arrive at new york city before 6 pm on saturday,travel
1020, all fares and flights from philadelphia,travel
1021, are there any flights from denver to atlanta which connect in pittsburgh,travel
1022, show me the flights from newark new jersey to ontario international next saturday,travel
1023, show all nonstop flights from boston to atlanta,travel
1024, give me the flights from new york to las vegas and memphis to las vegas on sunday,travel
1025, what does ea mean,travel
1026, show me the southwest airlines flights from san diego to san francisco,travel
1027, what is the first class fare for a round trip dallas to denver,travel
1028, show me times for coach flights between boston and baltimore on wednesday,travel
1029, what flights leaving pittsburgh arrive in denver and leave after say 6 o'clock at night,travel
1030, show me the flights from denver to westchester county,travel
1031, show me the earliest flight on wednesday from baltimore to newark,travel
1032, find me the earliest flight from boston to atlanta and the latest return to boston on the same day,travel
1033, what is airline dl,travel
1034, show me all flights from san francisco to atlanta,travel
1035, i'd like to book the cheapest one way flight from denver to pittsburgh on july fifteenth,travel
1036, what are the flights available in the morning between denver and san francisco,travel
1037, does delta airlines fly from boston to washington dc,travel
1038, do you fly a 747 from baltimore to san francisco,travel
1039, flights from baltimore to dallas,travel
1040, what do you have tomorrow morning from pittsburgh to atlanta,travel
1041, i would like some information on the earliest flights you have leaving atlanta arriving in denver,travel
1042, what flights are there from cleveland to miami on us air that arrive in miami before 4 pm,travel
1043, i need information on flights leaving philadelphia on friday arriving in oakland california,travel
1044, what flights are available from denver to san francisco,travel
1045, i would like a flight from atlanta to dallas on friday that arrives in dallas by 6 pm,travel
1046, please list the flights for me that leave dallas on tuesday morning and arrive in atlanta,travel
1047, all flights from baltimore to atlanta between 1 o'clock and 3 o'clock in the afternoon,travel
1048, round trip fares from baltimore to philadelphia under 1000 dollars,travel
1049, show me the flights from philadelphia to dallas that stop in atlanta,travel
1050, i need to fly from baltimore to dallas on tuesday evening,travel
1051, flights from newark to cleveland daily 5 o'clock pm,travel
1052, give me a flight between boston and denver,travel
1053, show me all flights from san francisco to boston philadelphia or baltimore,travel
1054, show flights between boston and denver,travel
1055, what is the latest flight on wednesday going from atlanta to washington dc,travel
1056, what is the cheapest ticket from baltimore to san francisco on friday august thirtieth,travel
1057, i'd like a ticket from denver to atlanta with a stopover in pittsburgh is this possible,travel
1058, i would like a flight on american airlines from baltimore to san francisco with a stop in denver,travel
1059, what is the fare going one way on november seventh from denver to oakland,travel
1060, is there a flight on united airlines from boston to denver,travel
1061, show me the evening flights from philadelphia to atlanta,travel
1062, show me ground transportation in philadelphia on monday morning,travel
1063, tell me about flights from toronto to salt lake city,travel
1064, i would like an american flight from toronto to san diego with a stopover in denver please,travel
1065, what's the cheapest one way flight from oakland to boston,travel
1066, i want to fly from baltimore to dallas round trip,travel
1067, show me the one way flights from atlanta to pittsburgh,travel
1068, flights on sunday from tampa to charlotte,travel
1069, find travel arrangements for a round trip flight from dallas to pittsburgh,travel
1070, what is the least expensive one way fare from boston to pittsburgh,travel
1071, what is the latest flight in the day to arrive in boston from baltimore,travel
1072, what is the cheapest flight from denver to pittsburgh,travel
1073, show me the flights from denver to pittsburgh and atlanta,travel
1074, does twa have a flight from indianapolis to houston arriving at 11 am,travel
1075, i need to know what flights leave atlanta on sunday evening and arrive in baltimore,travel
1076, i'd like to find a us air flight from orlando to cleveland that arrives around 10 o'clock in the evening,travel
1077, please list the twa flights from las vegas to new york and fare,travel
1078, all flights from dallas to san francisco,travel
1079, what's the cheapest fare from san francisco to baltimore,travel
1080, show me boston to oakland flights,travel
1081, i need to fly leaving philadelphia to atlanta,travel
1082, i would like to find a flight from charlotte north carolina to las vegas i would like a stopover in st. louis,travel
1083, please show me any united flights including connections between boston and san francisco at 5 in the evening,travel
1084, flights from cincinnati to o'hare departing after 718 am american,travel
1085, interested in a flight from washington to fort worth,travel
1086, list nonstop flights from burbank to denver arriving by 6 pm,travel
1087, show me the schedule for airlines leaving pittsburgh going to san francisco for next monday,travel
1088, give me morning flights from charlotte to baltimore,travel
1089, list all united flights from philadelphia to san francisco,travel
1090, i want to fly from milwaukee to orlando,travel
1091, is there a flight from boston to atlanta which leaves boston in the afternoon and arrives close to 5 pm,travel
1092, show me one way flights from milwaukee to orlando leaving on wednesday morning,travel
1093, show me all the flights from burbank,travel
1094, show me the aircraft that canadian airlines uses,travel
1095, yes i live in washington and i want to make a trip to san francisco which airlines may i use for this trip,travel
1096, please list flights from atlanta to philly,travel
1097, flights from la guardia or jfk to cleveland,travel
1098, show me the american airline flights leaving phoenix on wednesday and arriving in milwaukee,travel
1099, show all flights on lufthansa airlines out of boston,travel
1100, can you tell me the cheapest flight between boston and san francisco,travel
1101, i would like to see the flights from baltimore to philadelphia please,travel
1102, give me flights from atlanta to baltimore,travel
1103, i want a flight departing from newark to los angeles that leaves in the morning,travel
1104, list the flights from baltimore to seattle that stop in minneapolis,travel
1105, i need a flight from pittsburgh to new york departing after 5 pm,travel
1106, show me all flights from phoenix to milwaukee on american airlines on wednesday,travel
1107, which are the least expensive flights between dallas and baltimore on july nineteenth,travel
1108, show me all flights from san francisco to denver,travel
1109, which airlines fly between baltimore and san francisco,travel
1110, what airlines fly from boston to denver,travel
1111, round trip flights between houston and las vegas,travel
1112, what american airlines flights depart milwaukee for phoenix on saturday or sunday,travel
1113, i'm looking for a flight that goes from ontario to westchester and stops in chicago,travel
1114, what is the cheapest one way ticket from denver to pittsburgh,travel
1115, what kind of airline is flight ua 281 from boston to denver,travel
1116, which airlines fly between boston and philadelphia,travel
1117, list nonstop flights from baltimore washington airport to oakland that depart in the afternoon,travel
1118, please list fares for all the flights from atlanta to philadelphia on august the first,travel
1119, show me the flights that go from san diego to newark new jersey by way of houston,travel
1120, what flights are there from dallas to pittsburgh on monday morning,travel
1121, what kind of aircraft is used on the first class american airlines flight from philadelphia to san francisco stopping in dallas,travel
1122, what is the cost of round trip ticket first class between oakland and atlanta,travel
1123, i need flight information on saturday for a flight from philadelphia to dallas,travel
1124, what night flight do you have from san francisco to denver on united on the evening of august twenty seventh,travel
1125, what are the flights from philadelphia to dallas on october first 1991,travel
1126, list all tuesday night flights from boston to denver,travel
1127, what flights available between pittsburgh and baltimore on august eleventh,travel
1128, i want a flight from denver to pittsburgh then from pittsburgh to atlanta then from atlanta back to pittsburgh back to denver,travel
1129, give me a flight from newark to tampa on friday,travel
1130, what are the flights from pittsburgh to baltimore,travel
1131, list the american airlines flights from dallas to san francisco,travel
1132, what afternoon flights are available from pittsburgh to atlanta on a weekday,travel
1133, what does the abbreviation ua mean,travel
1134, i'd like a flight on united airlines from dallas to san francisco that leaves after 815 am,travel
1135, what is the fare on american airlines flight 928 from dallas fort worth to boston,travel
1136, flights from indianapolis to seattle washington,travel
1137, which airline is the cheapest to fly from dallas to baltimore on december twenty fourth,travel
1138, how much is a round trip first class fare between boston and washington,travel
1139, i'd like to find a flight from tampa to montreal that makes a stop in new york,travel
1140, show the flights that leave philadelphia that go to atlanta that leave early on thursday morning,travel
1141, show me the airlines for flights to or from love field,travel
1142, how many flights does each airline have with first class service,travel
1143, show me next wednesday's flights between phoenix and milwaukee,travel
1144, show me flights from philadelphia to baltimore,travel
1145, round trip air fares from pittsburgh to philadelphia less than 1000 dollars,travel
1146, show me the flights from boston to san francisco leaving after 4 pm on friday,travel
1147, what does code y stand for,travel
1148, what is the cheapest round trip flight from denver to atlanta,travel
1149, can you show me flights that are economy class from baltimore to dallas,travel
1150, ground transportation denver,travel
1151, what is the earliest flight from boston to san francisco that serves a meal,travel
1152, what ground transportation is available at denver airport,travel
1153, okay i'm sorry could you tell me what flights leave atlanta and arrive in philadelphia around 5 o'clock,travel
1154, and how much does it cost to travel from boston airport to downtown,travel
1155, earliest flight from atlanta to philadelphia,travel
1156, what flights from indianapolis to memphis,travel
1157, when is the first flight in the morning from boston to denver,travel
1158, show me the nonstop flights from nashville to st. louis,travel
1159, show flights from atlanta to baltimore,travel
1160, where is general mitchell international located,travel
1161, what is bur,travel
1162, are there any nonstop flights from san francisco to boston on thursdays,travel
1163, thank you for that information now i would like information on a flight on april sixteen from atlanta to philadelphia early in the morning,travel
1164, i'd like flights going from boston to atlanta leaving on august sixth in the afternoon,travel
1165, i need to fly from denver to san francisco tuesday,travel
1166, what does ff mean,travel
1167, i want to fly from milwaukee to orlando on either wednesday evening or thursday morning,travel
1168, all flights from pittsburgh to philadelphia that arrive at 6 o'clock next tuesday,travel
1169, list all flights departing from general mitchell,travel
1170, show me the one way fares from san diego to miami nonstop,travel
1171, show me the flights from atlanta to boston,travel
1172, what are the delta flights from dallas to boston,travel
1173, show me all flights from boston to dfw,travel
1174, what is the departure time of the latest flight of united airlines from denver to boston,travel
1175, show me the airlines that fly between toronto and denver,travel
1176, on thursday i'd like a flight from st. petersburg to miami,travel
1177, please find me a flight between boston and philadelphia that arrives in philadelphia close to 5 pm,travel
1178, what northwest airline flights leave denver before noon,travel
1179, from denver to baltimore,travel
1180, i'm trying to find a flight from columbus to phoenix through cincinnati,travel
1181, flight information between washington and denver on september third,travel
1182, what flights go from boston to denver before 10 am,travel
1183, flights from charlotte to baltimore,travel
1184, what is restriction ap57,travel
1185, please list all flights from dallas to philadelphia on monday,travel
1186, list all united flights from boston to san francisco,travel
1187, are there any flights from boston to san francisco with a stopover in dallas,travel
1188, i need a flight from san francisco to pittsburgh from pittsburgh to new york and then new york to san francisco,travel
1189, what flights from atlanta to st. louis on tuesday arriving around 230 pm,travel
1190, show me the flights to love field from all other airports,travel
1191, show me all flights from montreal,travel
1192, is there a flight departing from san francisco and arriving in oakland on november seventh in the evening,travel
1193, show me the flights from denver to westchester county,travel
1194, can you tell me the latest evening flight from atlanta to denver on july seventh,travel
1195, show me all flights from denver or philadelphia or pittsburgh to baltimore,travel
1196, flights from las vegas to montreal,travel
1197, does midwest express serve cleveland,travel
1198, what kind of aircraft does delta fly before 8 am on august second from boston to denver,travel
1199, list all flights arriving and departing at general mitchell international,travel
1200, what is the cheapest one way fare from atlanta to boston,travel
1201, okay i'm looking for a flight from tampa to st. louis leaving before 10 am any day,travel
1202, what are all flights from boston to denver,travel
1203, can you give me information on transportation from the airport in philadelphia to downtown philadelphia,travel
1204, give me a flight from memphis to las vegas and new york city to las vegas on sunday that arrive at the same time,travel
1205, what kind of airplane goes from philadelphia to san francisco monday stopping in dallas in the afternoon first class flight,travel
1206, list all flights on continental departing on monday before noon from denver to chicago,travel
1207, i would like to know the first class fare on a flight from baltimore to denver,travel
1208, flights from newark to cleveland 5 o'clock pm daily,travel
1209, what is the cheapest fare between boston and san francisco,travel
1210, on tuesday i'd like to fly from detroit to st. petersburg,travel
1211, find a flight from san francisco to boston on wednesday,travel
1212, what is the cheapest flight from dallas to baltimore,travel
1213, what flights are there from newark to seattle on saturday,travel
1214, please list all the takeoffs and landings for general mitchell international,travel
1215, please list the morning flights from kansas city to atlanta,travel
1216, i want to leave boston at 838 and arrive in denver at 1110 in the morning,travel
1217, i would like one flight from kansas city to st. paul arriving around dinnertime 6 pm,travel
1218, list nonstop flights from baltimore to newark on wednesday before noon,travel
1219, i'm looking for a flight traveling from boston to denver one way and the cheapest way possible,travel
1220, what ground transportation is available at the boston airport,travel
1221, what type of aircraft is used on american airline flight 315,travel
1222, explain restriction ap please,travel
1223, i would like a us air flight from toronto to san diego with a stopover in denver please,travel
1224, what is the lowest fare from denver to atlanta,travel
1225, what flights are there from new york city to las vegas,travel
1226, how long does it take to get from kansas city to st. paul,travel
1227, i would like a flight from kansas city to st. paul departing at 4 pm,travel
1228, what is the round trip fare on continental 1291 from dallas to san francisco and return,travel
1229, i want to go and take a plane in atlanta and fly to boston,travel
1230, i'd like a flight leaving atlanta august seventh and arriving in denver colorado august seventh leaving in the afternoon,travel
1231, show first flight from philadelphia to dallas,travel
1232, list the flights from philadelphia to dallas on american airlines,travel
1233, find a nonstop flight between boston and washington arriving in washington around 5 pm,travel
1234, give me the continental flights from chicago to seattle on saturday morning,travel
1235, what ground transportation is available in dallas tomorrow,travel
1236, show me all flights from pittsburgh to boston both direct and connecting that depart pittsburgh after 7 pm,travel
1237, show me the flights from pittsburgh to baltimore,travel
1238, show me all the flights from montreal to detroit,travel
1239, show me all flights from san francisco to la guardia nonstop,travel
1240, show me flights from philadelphia to baltimore,travel
1241, show me all the delta flights leaving pittsburgh between 12 and 4 in the afternoon,travel
1242, could you please show me all flights from charlotte to milwaukee,travel
1243, i'd like to find the earliest flight possible from san francisco to atlanta,travel
1244, what flights are available on wednesday from atlanta to washington dc,travel
1245, i would like information information on flights from san francisco to denver on thursday morning,travel
1246, please list the flights from st. paul to kansas city on friday night that serve meals,travel
1247, flights from chicago to denver on continental on saturday morning,travel
